"","id","release_date","revenue","budget","runtime","animation","comedy","family","adventure","fantasy","drama","romance","action","crime","thriller","history","mystery","music","horror","war","documentary","western","scifi","Actor","Director","actorMovieCount","directorMovieCount","directorEarnings","domestic","quarter","success_1_to_1","numOfHolidays","newyearsday","martinlutherkingjrday","valentinesday","presidentsday","goodfriday","mothersday","memorialday","fathersday","independenceday","laborday","columbusday","veteransday","thanksgivingday","christmaseve","christmasday","independencedayobserved","christmasdayobserved","newyearsdayobserved","christmaseveobserved","veteransdayobserved","related_holiday"
"492",63762,"2009-09-11",54058,24078133.8007948,102,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"alexapenavega","dagenmerrill",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"493",37964,"2002-10-05",27362712,8e+06,109,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"sanaalathan","rickfamuyiwa",1,2,39395809,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"494",67273,"2011-06-17",386749,24078133.8007948,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"buckbrannaman","cindymeehl",0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"495",10206,"1992-07-24",16624456,7e+06,86,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"kristyswanson","franrubelkuzui",0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"496",287,"1988-06-15",50888000,7e+06,108,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"kevincostner","ronshelton",9,5,133569976,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"497",87533,"1988-04-20",807947,5e+06,94,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"garybusey","stevecarver",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"498",10723,"1996-09-06",22611954,2.5e+07,84,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"damonwayans","ernestrdickerson",0,1,5923000,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"499",9452,"1998-05-15",29202884,3e+07,108,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"warrenbeatty","warrenbeatty",1,1,3885342,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"500",35395,"2009-11-27",81010,24078133.8007948,101,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"edwardhogg","paulking",0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"None"
"501",139948,"2012-11-01",111300,225000,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"donaldaustin","tomputnam",0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"502",642,"1969-09-23",102308889,6e+06,110,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,"paulnewman","georgeroyhill",4,2,57712172,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"503",20770,"1999-09-12",2600000,1200000,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"natashalyonne","jamiebabbit",0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"504",121173,"2012-09-05",34659,11178,104,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"eddiegarcia","junlana",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"None"
"505",3782,"1952-10-09",55240,24078133.8007948,143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"takashishimura","akirakurosawa",0,2,4341494,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"506",48492,"2010-09-18",51723285,1.3e+07,119,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,"andylau","tsuihark",0,2,72516767,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"507",217923,"2013-09-27",72287783,24078133.8007948,133,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,"angelababy","tsuihark",0,1,228984,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"508",309302,"2015-02-19",123205624,3.8e+07,116,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"williamfeng","jeanjacquesannaud",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"509",33542,"1995-01-30",32392047,7500000,91,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"jackiechan","stanleytong",7,1,21890845,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"510",222216,"2013-10-17",12666,24078133.8007948,98,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"donnieyen","clarencefok",1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"None"
"511",26391,"1994-01-07",3662459,24078133.8007948,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chriselliott","adamresnick",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"512",11547,"2003-08-15",30553394,1500000,93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"riderstrong","eliroth",0,1,6833445,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"513",47423,"1991-02-02",4303351,24078133.8007948,103,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"chowyunfat","johnwoo",1,1,74189677,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"514",339397,"2016-05-11",43763247,3e+07,96,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"jesseeisenberg","woodyallen",0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"515",117553,"1993-09-03",2570145,1.3e+07,90,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"jasonpriestley","johnwhitesell",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"516",9453,"1979-01-21",23438120,17500000,156,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"malcolmmcdowell","tintobrass",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"517",27906,"2009-06-12",270210,24078133.8007948,87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"christopherlloyd","richardgabai",0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"518",59735,"1988-12-02",136203,7e+06,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"cottersmith","armandmastroianni",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"519",79783,"1994-11-25",250993,8500000,95,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"jessicatandy","deepamehta",0,2,1030505,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"520",110428,"2013-03-13",115860,3512454,95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"juliettebinoche","brunodumont",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"521",33339,"2003-09-05",1628154,24078133.8007948,114,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"danielletterle","toddgraff",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"522",73265,"1987-04-10",989000,24078133.8007948,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"johndye","roncasden",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"523",1775,"1995-06-08",178104,1.1e+07,91,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"johncandy","michaelmoore",0,4,172835573,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"524",11950,"1984-06-29",28078073,24078133.8007948,108,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"burtreynolds","halneedham",0,1,2015882,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"525",15037,"1998-06-12",25605015,1e+07,100,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"jenniferlovehewitt","harryelfont",1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"526",22074,"2009-09-06",17436509,2e+07,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"michaelmoore","michaelmoore",0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"None"
"528",98203,"2012-09-05",24591,11180,120,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"isabellehuppert","brillantemendoza",0,1,306,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"None"
"529",2260,"2003-05-30",3117985,24078133.8007948,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"arnoldfriedman","andrewjarecki",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"530",375742,"2015-12-25",101657,1300000,92,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"kingapreis","agnieszkasmoczynska",0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"None"
"531",267,"1997-10-28",1535558,24078133.8007948,103,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"libertorabal","pedroalmodóvar",0,1,67872296,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"532",39283,"1993-05-21",1753979,1e+06,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"dianeladd","adamsimon",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"533",258480,"2015-11-20",40272135,11800000,118,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"cateblanchett","toddhaynes",0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"534",7340,"1976-11-03",33800000,1800000,98,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"sissyspacek","briandepalma",1,7,607463583,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"537",289,"1942-11-26",10462500,878000,102,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"humphreybogart","michaelcurtiz",2,1,5638000,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"539",45324,"2010-09-16",1083683,12500000,108,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"kevinspacey","georgehickenlooper",1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"540",8839,"1995-05-26",287928194,5e+07,100,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"christinaricci","bradsilberling",1,1,10011050,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"541",34604,"1988-04-22",12277096,24078133.8007948,88,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"leathompson","genevièverobert",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"542",10142,"1989-08-18",18671317,22500000,113,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,"michaeljfox","briandepalma",4,4,491008563,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"543",42296,"2010-09-17",3045943,30000,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"meganfaccio","henryjoost",0,3,228611248,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"544",261,"1958-02-17",17570324,3e+06,108,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"elizabethtaylor","richardbrooks",2,2,32912655,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"545",24662,"1997-03-26",3566637,3.2e+07,75,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"scottbakula","markdindal",0,1,169327687,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"546",52067,"2011-02-11",6861102,24078133.8007948,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"anneheche","miguelarteta",0,1,100654149,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"547",168098,"2016-07-06",1133031,24078133.8007948,98,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"johncusack","todwilliams",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"None"
"548",302699,"2016-06-15",216972543,5e+07,107,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"dwaynejohnson","rawsonmarshallthurber",0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"550",340487,"2016-09-25",1130466,24078133.8007948,107,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"lauradern","kellyreichardt",0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"551",362812,"2005-02-11",140,24078133.8007948,107.440816326531,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"aryanvaid","jayaprakashreddy",0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"552",58232,"2011-02-02",1749457,8e+06,96,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"felicityjones","philtraill",0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"553",3580,"2008-01-30",113020255,5.5e+07,141,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,"angelinajolie","clinteastwood",0,6,887812910,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"554",12912,"2008-03-14",240476,24078133.8007948,87,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"ryanreynolds","marcossiega",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"555",4808,"1963-12-05",13474588,4e+06,113,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,"carygrant","stanleydonen",0,1,18600000,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"558",12660,"2001-12-17",741394,24078133.8007948,121,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,"cateblanchett","gillianarmstrong",3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"559",24405,"1994-04-22",1596687,24078133.8007948,102,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"tomberenger","dennishopper",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"560",411012,"2017-04-14",393970,24078133.8007948,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"denzelwashington","johnscheinfeld",0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"561",13612,"1980-07-18",41675194,24078133.8007948,99,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"cheechmarin","tommychong",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"562",212778,"2014-05-08",45967935,1.1e+07,114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jonfavreau","jonfavreau",0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"563",22495,"2009-06-11",160829,24078133.8007948,106,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"ekaterinaguseva","vladimirmirzoyev",0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"564",181283,"2015-03-15",3324330,5e+07,137,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"tomhardy","danielespinosa",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"565",1890,"1986-09-13",31853080,24078133.8007948,119,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"williamhurt","randahaines",0,1,15,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"566",10823,"1984-03-09",1.4e+07,8e+05,93,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,"peterhorton","fritzkiersch",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"567",25748,"1993-01-29",6980986,9e+05,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"terenceknox","davidprice",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"568",10585,"1988-11-08",44196684,9e+06,87,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"catherinehicks","tomholland",0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"569",11186,"1990-11-09",35763605,1.3e+07,84,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"alexvincent","johnlafia",0,1,12974636,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"571",47212,"1987-09-25",1262091,24078133.8007948,90,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"jamesrusso","abelferrara",0,3,3675661,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"572",829,"1974-06-20",3e+07,6e+06,130,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,"jacknicholson","romanpolanski",8,4,197975230,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"573",417644,"2017-03-23",26800152,2.5e+07,100,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"michaelpeña","daxshepard",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"574",598,"2002-02-05",30641770,3300000,130,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"alexandrerodrigues","fernandomeirelles",0,1,1663931,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"575",11224,"1950-03-04",263591415,2900000,74,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"ilenewoods","clydegeronimi",0,2,138404651,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"576",18973,"1960-12-18",7100000,3e+06,91,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"jerrylewis","franktashlin",0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"577",214355,"2013-08-09",4900000,24078133.8007948,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"edmilsonfilho","haldergomes",0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"578",93708,"1975-08-25",39598448,24078133.8007948,107.440816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"franconero","enzogcastellari",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"579",293310,"2014-10-10",3003169,24078133.8007948,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"edwardsnowden","laurapoitras",0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"None"
"580",15,"1941-04-30",23217674,839727,119,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"orsonwelles","orsonwelles",0,1,2247465,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"581",13891,"1996-12-13",153155,3e+06,104,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"lauradern","alexanderpayne",1,2,123489468,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"582",13536,"2002-09-06",22433915,4e+07,108,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,"robertdeniro","michaelcatonjones",2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"583",16969,"1984-12-05",38348988,2.5e+07,93,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"clinteastwood","richardbenjamin",9,3,67411058,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"584",901,"1931-01-30",19181,1500000,87,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"charliechaplin","charliechaplin",1,2,1.3e+07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"585",47821,"1992-04-15",14683921,2.7e+07,132,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"patrickswayze","rolandjoffé",3,1,10382407,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"586",1406,"1991-06-07",179033791,2.7e+07,112,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,"billycrystal","ronunderwood",1,2,23693513,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"587",53049,"1992-09-18",799674,130000,105,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"trishatodd","nicoleconn",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"588",10323,"1981-03-15",41092328,1.5e+07,118,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"laurenceolivier","desmonddavis",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"589",23535,"1990-05-11",2459895,5200000,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"bradleygregg","markllester",0,1,2275557,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"590",14441,"1988-08-10",8674093,24078133.8007948,124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"michaelkeaton","glenngordoncaron",3,1,44332015,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"592",20649,"1995-09-15",13071518,2.5e+07,128,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,"harveykeitel","spikelee",1,4,15897198,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"593",85870,"2012-03-14",29193330,27563396,148,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"jérémierenier","florentemiliosiri",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"594",246860,"2014-08-20",1851517,6600000,124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"juliettebinoche","olivierassayas",0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"596",29973,"1994-12-02",1007583,24078133.8007948,128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"tommyleejones","ronshelton",4,3,113431393,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"597",9874,"1986-03-21",49042224,24078133.8007948,87,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"sylvesterstallone","georgepcosmatos",10,2,17859154,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"598",14761,"2006-04-26",163000,24078133.8007948,118,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"jonroberts","billycorben",0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"599",11285,"1988-09-13",25024919,17500000,116,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"donameche","danielpetrie",0,2,43955208,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"600",14396,"2007-01-05",10337477,2e+07,84,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"cedrictheentertainer","lesmayfield",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"601",20721,"1985-05-03",20345361,24078133.8007948,101,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,"chucknorris","andrewdavis",2,3,544308530,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"602",109080,"2006-03-11",862,24078133.8007948,95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"hiroshiabe","takahiroimamura",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
